Inventory_ID,Product_ID,Store_ID,Stock,Reorder_Level,Last_Updated,Warehouse_ID,Stock_Status
INV00001,P0103,S054,1055,80,2024-06-27,W005,Adequate
INV00002,P0436,S013,185,134,2024-11-25,W001,Adequate
INV00003,P0349,S083,1197,94,2024-08-12,W018,Adequate
INV00004,P0271,S029,1589,420,2024-09-21,W008,Adequate
INV00005,P0107,S003,672,372,2024-09-25,W017,Adequate
INV00006,P0072,S090,1273,381,2024-09-07,W011,Adequate
INV00007,P0189,S058,1000,292,2024-09-29,W011,Adequate
INV00008,P0021,S076,1786,89,2024-12-08,W003,Adequate
INV00009,P0103,S002,1958,479,2024-09-28,W008,Adequate
INV00010,P0122,S075,278,231,2024-10-06,W008,Adequate
INV00011,P0467,S028,682,346,2024-08-10,W003,Adequate
INV00012,P0215,S082,1718,425,2024-03-15,W010,Adequate
INV00013,P0331,S077,1025,130,2024-05-30,W019,Adequate
INV00014,P0459,S086,1217,87,2024-12-24,W014,Adequate
INV00015,P0088,S076,1189,405,2024-12-07,W018,Adequate
INV00016,P0373,S002,1782,469,2024-04-14,W003,Adequate
INV00017,P0100,S007,1010,477,2024-02-11,W020,Adequate
INV00018,P0360,S026,924,106,2024-06-24,W014,Adequate
INV00019,P0152,S090,1779,371,2024-09-01,W011,Adequate
INV00020,P0131,S088,1133,79,2024-09-09,W010,Adequate
INV00021,P0150,S076,379,315,2024-09-30,W014,Adequate
INV00022,P0309,S016,834,276,2024-11-29,W001,Adequate
INV00023,P0258,S023,998,366,2024-04-01,W016,Adequate
INV00024,P0344,S040,1606,496,2024-01-11,W006,Adequate
INV00025,P0492,S060,1699,341,2024-05-31,W018,Adequate
INV00026,P0414,S073,284,103,2024-07-07,W016,Adequate
INV00027,P0294,S032,1910,146,2024-06-12,W019,Adequate
INV00028,P0386,S015,420,498,2024-05-05,W016,Low Stock
INV00029,P0192,S013,112,53,2024-07-29,W005,Adequate
INV00030,P0444,S005,1017,488,2024-04-06,W012,Adequate
INV00031,P0277,S075,227,359,2024-11-04,W006,Low Stock
INV00032,P0161,S074,1494,416,2024-12-04,W002,Adequate
INV00033,P0460,S052,1836,140,2024-02-16,W016,Adequate
INV00034,P0314,S077,527,138,2024-11-03,W011,Adequate
INV00035,P0022,S041,495,369,2024-08-11,W012,Adequate
INV00036,P0253,S053,30,424,2024-02-26,W011,Low Stock
INV00037,P0236,S050,161,141,2024-03-15,W020,Adequate
INV00038,P0345,S015,1841,199,2024-09-10,W019,Adequate
INV00039,P0049,S007,704,283,2024-05-30,W008,Adequate
INV00040,P0475,S040,721,458,2024-02-28,W018,Adequate
INV00041,P0059,S028,1401,386,2024-11-20,W005,Adequate
INV00042,P0170,S032,445,108,2024-03-26,W012,Adequate
INV00043,P0476,S099,743,234,2024-06-18,W010,Adequate
INV00044,P0188,S015,426,487,2024-05-25,W015,Low Stock
INV00045,P0464,S100,1719,93,2024-11-22,W005,Adequate
INV00046,P0271,S085,503,229,2024-02-02,W017,Adequate
INV00047,P0190,S070,1550,125,2024-01-03,W004,Adequate
INV00048,P0446,S065,1967,193,2024-10-10,W012,Adequate
INV00049,P0175,S004,1840,150,2024-09-13,W018,Adequate
INV00050,P0446,S011,720,430,2024-05-05,W008,Adequate
INV00051,P0051,S026,683,321,2024-04-22,W020,Adequate
INV00052,P0364,S061,1801,104,2024-10-29,W017,Adequate
INV00053,P0055,S037,1555,238,2024-10-19,W008,Adequate
INV00054,P0244,S023,581,400,2024-12-07,W013,Adequate
INV00055,P0320,S093,1543,384,2024-02-17,W003,Adequate
INV00056,P0131,S085,1964,126,2024-12-29,W003,Adequate
INV00057,P0485,S091,1057,345,2024-10-01,W007,Adequate
INV00058,P0307,S040,735,268,2024-07-13,W018,Adequate
INV00059,P0135,S077,690,326,2024-12-04,W007,Adequate
INV00060,P0021,S023,757,115,2024-08-12,W002,Adequate
INV00061,P0329,S016,1513,185,2024-07-31,W007,Adequate
INV00062,P0167,S094,1795,283,2024-11-16,W002,Adequate
INV00063,P0274,S061,1643,248,2024-10-08,W007,Adequate
INV00064,P0388,S068,753,315,2024-05-17,W014,Adequate
INV00065,P0089,S080,1446,490,2024-12-20,W015,Adequate
INV00066,P0316,S031,1491,437,2024-11-28,W016,Adequate
INV00067,P0014,S053,23,92,2024-03-10,W008,Low Stock
INV00068,P0242,S025,1239,410,2024-10-25,W016,Adequate
INV00069,P0265,S044,54,277,2024-03-10,W007,Low Stock
INV00070,P0346,S012,1049,276,2024-07-26,W011,Adequate
INV00071,P0053,S090,1304,112,2024-07-18,W004,Adequate
INV00072,P0386,S097,803,220,2024-02-28,W018,Adequate
INV00073,P0340,S092,326,299,2024-09-15,W013,Adequate
INV00074,P0092,S009,969,387,2024-12-06,W017,Adequate
INV00075,P0367,S012,185,299,2024-12-16,W012,Low Stock
INV00076,P0444,S069,494,356,2024-11-29,W018,Adequate
INV00077,P0455,S054,1035,287,2024-12-22,W010,Adequate
INV00078,P0428,S054,1664,105,2024-12-04,W007,Adequate
INV00079,P0264,S028,1907,220,2024-06-13,W012,Adequate
INV00080,P0431,S056,433,457,2024-09-01,W012,Low Stock
INV00081,P0035,S099,1944,83,2024-03-24,W013,Adequate
INV00082,P0206,S069,207,364,2024-11-04,W001,Low Stock
INV00083,P0081,S098,132,179,2024-04-23,W007,Low Stock
INV00084,P0420,S098,1362,179,2024-08-21,W016,Adequate
INV00085,P0050,S077,1219,443,2024-09-18,W016,Adequate
INV00086,P0360,S058,1285,200,2024-06-20,W016,Adequate
INV00087,P0388,S078,1305,192,2024-01-18,W016,Adequate
INV00088,P0002,S075,368,167,2024-08-22,W014,Adequate
INV00089,P0390,S042,1126,253,2024-11-05,W011,Adequate
INV00090,P0054,S038,1655,433,2024-06-05,W019,Adequate
INV00091,P0106,S068,1206,284,2024-07-29,W011,Adequate
INV00092,P0260,S053,422,66,2024-10-07,W002,Adequate
INV00093,P0310,S033,1032,131,2024-11-14,W007,Adequate
INV00094,P0477,S071,1580,63,2024-07-14,W009,Adequate
INV00095,P0191,S056,243,130,2024-04-24,W009,Adequate
INV00096,P0402,S072,781,256,2024-06-08,W014,Adequate
INV00097,P0218,S051,623,253,2024-06-03,W010,Adequate
INV00098,P0044,S074,566,428,2024-02-20,W016,Adequate
INV00099,P0162,S043,1416,321,2024-10-10,W018,Adequate
INV00100,P0202,S015,526,81,2024-03-13,W001,Adequate
INV00101,P0446,S038,36,72,2024-11-23,W002,Low Stock
INV00102,P0484,S015,177,151,2024-12-06,W020,Adequate
INV00103,P0270,S005,638,211,2024-04-19,W004,Adequate
INV00104,P0351,S093,1652,147,2024-10-12,W002,Adequate
INV00105,P0304,S083,851,193,2024-08-08,W004,Adequate
INV00106,P0271,S054,71,467,2024-01-09,W006,Low Stock
INV00107,P0456,S051,351,153,2024-03-22,W004,Adequate
INV00108,P0462,S010,622,431,2024-11-15,W018,Adequate
INV00109,P0215,S012,1172,466,2024-10-20,W005,Adequate
INV00110,P0252,S004,1720,373,2024-01-22,W011,Adequate
INV00111,P0190,S095,104,220,2024-04-08,W013,Low Stock
INV00112,P0296,S018,1682,113,2024-06-18,W003,Adequate
INV00113,P0213,S080,220,293,2024-07-08,W019,Low Stock
INV00114,P0208,S036,1849,120,2024-04-15,W020,Adequate
INV00115,P0237,S025,862,323,2024-11-15,W011,Adequate
INV00116,P0338,S087,1397,418,2024-09-21,W011,Adequate
INV00117,P0367,S076,517,174,2024-12-16,W002,Adequate
INV00118,P0053,S098,1283,432,2024-06-16,W015,Adequate
INV00119,P0280,S036,298,366,2024-12-09,W008,Low Stock
INV00120,P0410,S067,860,380,2024-04-22,W002,Adequate
INV00121,P0217,S009,41,156,2024-11-23,W008,Low Stock
INV00122,P0252,S061,770,197,2024-11-01,W020,Adequate
INV00123,P0188,S053,896,444,2024-05-27,W015,Adequate
INV00124,P0380,S018,491,479,2024-12-02,W016,Adequate
INV00125,P0493,S043,1462,241,2024-08-07,W013,Adequate
INV00126,P0041,S035,1806,386,2024-02-02,W017,Adequate
INV00127,P0157,S063,1070,275,2024-08-07,W014,Adequate
INV00128,P0015,S098,84,291,2024-11-14,W014,Low Stock
INV00129,P0301,S078,1709,411,2024-07-03,W001,Adequate
INV00130,P0065,S004,1081,333,2024-07-11,W001,Adequate
INV00131,P0345,S093,990,481,2024-12-26,W003,Adequate
INV00132,P0327,S041,710,212,2024-06-28,W015,Adequate
INV00133,P0009,S045,208,57,2024-12-20,W005,Adequate
INV00134,P0344,S050,1271,396,2024-01-06,W005,Adequate
INV00135,P0129,S079,1234,455,2024-01-09,W004,Adequate
INV00136,P0492,S028,38,426,2024-12-22,W014,Low Stock
INV00137,P0136,S042,1275,201,2024-03-01,W020,Adequate
INV00138,P0472,S080,1666,371,2024-06-11,W007,Adequate
INV00139,P0063,S076,925,144,2024-04-08,W015,Adequate
INV00140,P0139,S069,1826,263,2024-05-27,W011,Adequate
INV00141,P0499,S098,761,113,2024-02-27,W014,Adequate
INV00142,P0081,S001,1976,114,2024-08-02,W006,Adequate
INV00143,P0392,S039,1436,430,2024-11-11,W010,Adequate
INV00144,P0163,S096,945,319,2024-06-30,W007,Adequate
INV00145,P0419,S090,1469,74,2024-02-04,W010,Adequate
INV00146,P0289,S017,51,149,2024-10-29,W014,Low Stock
INV00147,P0379,S091,373,154,2024-02-15,W005,Adequate
INV00148,P0261,S088,1549,180,2024-03-27,W001,Adequate
INV00149,P0490,S035,930,438,2024-01-04,W019,Adequate
INV00150,P0231,S046,155,370,2024-09-22,W008,Low Stock
INV00151,P0041,S042,1977,487,2024-04-16,W019,Adequate
INV00152,P0028,S039,1565,68,2024-03-15,W017,Adequate
INV00153,P0135,S090,1113,274,2024-02-09,W019,Adequate
INV00154,P0201,S049,1926,155,2024-05-06,W016,Adequate
INV00155,P0328,S062,678,103,2024-07-01,W004,Adequate
INV00156,P0268,S038,350,443,2024-04-28,W008,Low Stock
INV00157,P0418,S023,68,275,2024-03-13,W004,Low Stock
INV00158,P0033,S022,1186,449,2024-02-09,W013,Adequate
INV00159,P0048,S004,1265,409,2024-07-22,W007,Adequate
INV00160,P0407,S049,1518,479,2024-04-05,W001,Adequate
INV00161,P0062,S059,1406,462,2024-10-05,W009,Adequate
INV00162,P0216,S073,1075,64,2024-05-22,W004,Adequate
INV00163,P0293,S068,653,97,2024-04-24,W014,Adequate
INV00164,P0099,S071,62,188,2024-05-12,W009,Low Stock
INV00165,P0172,S087,508,83,2024-06-16,W003,Adequate
INV00166,P0360,S002,291,469,2024-09-01,W015,Low Stock
INV00167,P0214,S049,1114,463,2024-10-03,W005,Adequate
INV00168,P0475,S088,1687,404,2024-09-15,W001,Adequate
INV00169,P0035,S095,1447,259,2024-02-15,W011,Adequate
INV00170,P0449,S031,1692,68,2024-12-11,W019,Adequate
INV00171,P0227,S040,820,245,2024-11-30,W005,Adequate
INV00172,P0101,S048,1388,375,2024-08-24,W017,Adequate
INV00173,P0431,S051,149,164,2024-02-22,W019,Low Stock
INV00174,P0462,S043,1863,466,2024-05-27,W017,Adequate
INV00175,P0131,S098,1294,401,2024-07-05,W005,Adequate
INV00176,P0257,S055,880,124,2024-01-21,W020,Adequate
INV00177,P0005,S088,1604,199,2024-03-30,W009,Adequate
INV00178,P0218,S049,1139,85,2024-08-20,W006,Adequate
INV00179,P0255,S090,703,291,2024-08-02,W013,Adequate
INV00180,P0398,S080,515,200,2024-02-20,W011,Adequate
INV00181,P0359,S057,1610,112,2024-06-01,W001,Adequate
INV00182,P0283,S077,1937,203,2024-11-19,W017,Adequate
INV00183,P0393,S015,1833,237,2024-04-25,W006,Adequate
INV00184,P0207,S027,1264,272,2024-08-01,W003,Adequate
INV00185,P0015,S068,29,142,2024-12-04,W016,Low Stock
INV00186,P0346,S080,1166,54,2024-12-16,W013,Adequate
INV00187,P0042,S064,325,487,2024-05-16,W012,Low Stock
INV00188,P0380,S094,1718,215,2024-10-11,W011,Adequate
INV00189,P0461,S030,948,495,2024-03-11,W002,Adequate
