Sale_ID,Date,Store_ID,Product_ID,Quantity,Sales,Customer_Count,Payment_Method,Year,Month,Day,DayOfWeek,Quarter,Is_Weekend,Season
1,2023-01-01 00:00:00,S052,P0492,9,931,26,Cash,2023,1,1,6,1,1,Winter
2,2023-01-01 01:00:00,S093,P0035,15,9543,28,Cash,2023,1,1,6,1,1,Winter
3,2023-01-01 02:00:00,S015,P0331,5,5812,5,Cash,2023,1,1,6,1,1,Winter
4,2023-01-01 03:00:00,S072,P0363,7,2809,23,Card,2023,1,1,6,1,1,Winter
5,2023-01-01 04:00:00,S061,P0087,2,9374,35,Cash,2023,1,1,6,1,1,Winter
6,2023-01-01 05:00:00,S021,P0158,11,8238,26,Cash,2023,1,1,6,1,1,Winter
7,2023-01-01 06:00:00,S083,P0432,10,3184,25,UPI,2023,1,1,6,1,1,Winter
8,2023-01-01 07:00:00,S087,P0325,19,3668,35,Card,2023,1,1,6,1,1,Winter
9,2023-01-01 08:00:00,S075,P0116,5,2224,35,UPI,2023,1,1,6,1,1,Winter
10,2023-01-01 09:00:00,S075,P0008,15,5730,28,UPI,2023,1,1,6,1,1,Winter
11,2023-01-01 10:00:00,S088,P0107,2,7002,26,Card,2023,1,1,6,1,1,Winter
12,2023-01-01 11:00:00,S100,P0107,11,9908,34,Cash,2023,1,1,6,1,1,Winter
13,2023-01-01 12:00:00,S024,P0114,4,3827,31,Card,2023,1,1,6,1,1,Winter
14,2023-01-01 13:00:00,S003,P0435,17,4875,26,UPI,2023,1,1,6,1,1,Winter
15,2023-01-01 14:00:00,S022,P0010,2,5733,13,Card,2023,1,1,6,1,1,Winter
16,2023-01-01 15:00:00,S053,P0284,10,5398,18,Card,2023,1,1,6,1,1,Winter
17,2023-01-01 16:00:00,S002,P0420,11,9740,28,UPI,2023,1,1,6,1,1,Winter
18,2023-01-01 17:00:00,S088,P0060,1,8962,21,UPI,2023,1,1,6,1,1,Winter
19,2023-01-01 18:00:00,S030,P0266,18,898,33,Cash,2023,1,1,6,1,1,Winter
20,2023-01-01 19:00:00,S038,P0398,5,2031,31,Cash,2023,1,1,6,1,1,Winter
21,2023-01-01 20:00:00,S002,P0102,5,7427,15,Card,2023,1,1,6,1,1,Winter
22,2023-01-01 21:00:00,S064,P0063,4,8049,48,Card,2023,1,1,6,1,1,Winter
23,2023-01-01 22:00:00,S060,P0485,9,7083,21,Cash,2023,1,1,6,1,1,Winter
24,2023-01-01 23:00:00,S021,P0175,19,9418,1,UPI,2023,1,1,6,1,1,Winter
25,2023-01-02 00:00:00,S033,P0197,3,692,3,Card,2023,1,2,0,1,0,Winter
26,2023-01-02 01:00:00,S076,P0312,15,9901,25,UPI,2023,1,2,0,1,0,Winter
27,2023-01-02 02:00:00,S058,P0390,14,6399,39,Cash,2023,1,2,0,1,0,Winter
28,2023-01-02 03:00:00,S022,P0222,1,9386,9,Card,2023,1,2,0,1,0,Winter
29,2023-01-02 04:00:00,S089,P0403,10,4197,26,Card,2023,1,2,0,1,0,Winter
30,2023-01-02 05:00:00,S049,P0436,13,7286,16,UPI,2023,1,2,0,1,0,Winter
31,2023-01-02 06:00:00,S091,P0190,12,2912,32,UPI,2023,1,2,0,1,0,Winter
32,2023-01-02 07:00:00,S059,P0128,1,2112,29,Card,2023,1,2,0,1,0,Winter
33,2023-01-02 08:00:00,S042,P0433,2,4149,1,Cash,2023,1,2,0,1,0,Winter
34,2023-01-02 09:00:00,S092,P0334,11,4340,43,Cash,2023,1,2,0,1,0,Winter
35,2023-01-02 10:00:00,S060,P0395,12,4064,26,UPI,2023,1,2,0,1,0,Winter
36,2023-01-02 11:00:00,S080,P0046,1,7988,31,Cash,2023,1,2,0,1,0,Winter
37,2023-01-02 12:00:00,S015,P0069,10,1298,17,Cash,2023,1,2,0,1,0,Winter
38,2023-01-02 13:00:00,S062,P0301,3,6255,2,Cash,2023,1,2,0,1,0,Winter
39,2023-01-02 14:00:00,S062,P0351,9,6355,25,Cash,2023,1,2,0,1,0,Winter
40,2023-01-02 15:00:00,S047,P0364,17,7283,26,UPI,2023,1,2,0,1,0,Winter
41,2023-01-02 16:00:00,S062,P0058,19,2565,39,UPI,2023,1,2,0,1,0,Winter
42,2023-01-02 17:00:00,S051,P0416,18,2721,12,UPI,2023,1,2,0,1,0,Winter
43,2023-01-02 18:00:00,S055,P0216,5,2204,40,Card,2023,1,2,0,1,0,Winter
44,2023-01-02 19:00:00,S064,P0115,7,8247,28,UPI,2023,1,2,0,1,0,Winter
45,2023-01-02 20:00:00,S003,P0010,15,1697,13,UPI,2023,1,2,0,1,0,Winter
46,2023-01-02 21:00:00,S051,P0397,6,2036,3,UPI,2023,1,2,0,1,0,Winter
47,2023-01-02 22:00:00,S007,P0367,5,7122,32,Cash,2023,1,2,0,1,0,Winter
48,2023-01-02 23:00:00,S021,P0500,19,7073,14,Cash,2023,1,2,0,1,0,Winter
49,2023-01-03 00:00:00,S073,P0269,13,9206,44,Cash,2023,1,3,1,1,0,Winter
