Feature,Importance
Discount_Sales_Ratio,0.4920537727626918
Revenue_Per_Customer,0.3263079641346479
Customer_Count,0.0669022470540961
Max_Discount,0.04999233448932217
Avg_Discount,0.02491776781523039
Has_Promotion,0.009933720228175019
Profit_Margin,0.005999258884426539
Total_Stock,0.0029707955292234078
Store_Age_Years,0.0026735029308826313
Brand_Encoded,0.0026677905829027445
Month,0.002497831451915926
DayOfWeek,0.002346231299589691
Category_Encoded,0.002120616547808862
Store_Type_Encoded,0.0017372700826507287
Payment_Method_Encoded,0.0012561747536163836
Season_Encoded,0.001188245834957914
Price_Range_Encoded,0.0010805093646106222
Quarter,0.0010389249230728839
Region_Encoded,0.0008302204626956666
Is_Holiday,0.0005119699200032672
Stock_Available,0.0004876376730718555
Is_Weekend,0.0004852132744075753
