Feature,Importance
Discount_Sales_Ratio,0.6158645812890992
Revenue_Per_Customer,0.2397089917315398
Max_Discount,0.10312694309661598
Customer_Count,0.04023364420211026
Avg_Discount,0.0010546220839959396
Profit_Margin,2.1766745819689247e-06
Category_Encoded,1.1841491076098169e-06
Store_Age_Years,1.1591473258274075e-06
Brand_Encoded,1.0776140661128903e-06
Month,1.0568987821931735e-06
DayOfWeek,7.900936562147062e-07
Store_Type_Encoded,6.840476216296308e-07
Has_Promotion,5.696752077350445e-07
Region_Encoded,4.5390733018391867e-07
Season_Encoded,4.176806835575134e-07
Payment_Method_Encoded,4.141003904169202e-07
Quarter,3.7223040473055996e-07
Total_Stock,3.2309292608568124e-07
Price_Range_Encoded,1.8659001177786616e-07
Stock_Available,1.4001267147069133e-07
Is_Weekend,1.2686369465615523e-07
Is_Holiday,8.481817667669138e-08
