Feature,Importance
Discount_Sales_Ratio,0.5355995
Max_Discount,0.21405582
Revenue_Per_Customer,0.13290271
Customer_Count,0.0690182
Avg_Discount,0.013591895
Category_Encoded,0.0030780672
Brand_Encoded,0.0030137405
Season_Encoded,0.0029915648
DayOfWeek,0.0028099462
Profit_Margin,0.00269995
Price_Range_Encoded,0.002660065
Month,0.0024655096
Store_Age_Years,0.0024502508
Region_Encoded,0.002449882
Payment_Method_Encoded,0.0024145034
Total_Stock,0.002394443
Has_Promotion,0.0023672755
Store_Type_Encoded,0.0022946228
Is_Holiday,0.0007419873
Is_Weekend,0.0
Quarter,0.0
Stock_Available,0.0
