Feature,Importance
Discount_Sales_Ratio,0.5505003
Revenue_Per_Customer,0.2369727
Max_Discount,0.11326092
Customer_Count,0.08982762
Avg_Discount,0.0077949073
Store_Type_Encoded,0.00019740072
Total_Stock,0.00016613433
Profit_Margin,0.0001585687
Category_Encoded,0.0001406951
Has_Promotion,0.00012996979
Store_Age_Years,0.00011405787
Season_Encoded,0.00011128515
Payment_Method_Encoded,0.00010712533
Brand_Encoded,0.000102756945
DayOfWeek,0.00010209316
Month,0.000101737445
Region_Encoded,8.088348e-05
Is_Holiday,7.223662e-05
Price_Range_Encoded,5.8615184e-05
Is_Weekend,0.0
Quarter,0.0
Stock_Available,0.0
